"Holdings and weightings as of 5:36 PM ET 02/16/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"XOM","Exxon Mobil Corp","15.82%","82.30","-0.86","-1.03%","10.61 M","79.67 - 95.55",
"CVX","Chevron Corp","14.66%","110.68","-1.89","-1.68%","9.48 M","82.90 - 119.00",
"SLB","Schlumberger Ltd","8.09%","81.13","-0.62","-0.76%","5.10 M","70.40 - 87.84",
"PXD","Pioneer Natural Resources","5.11%","193.21","-4.51","-2.28%","1.95 M","115.03 - 199.83",
"EOG","EOG Resources","4.84%","100.17","-0.58","-0.58%","3.15 M","62.53 - 109.37",
"HAL","Halliburton Co","3.86%","54.31","-1.46","-2.62%","10.92 M","30.07 - 58.78",
"COP","ConocoPhillips","3.04%","48.34","-1.02","-2.07%","9.68 M","31.82 - 53.17",
"OXY","Occidental Petroleum","3.04%","66.44","-0.77","-1.15%","4.90 M","64.37 - 78.48",
"APC","Anadarko Petroleum Corp","2.98%","66.60","-0.92","-1.36%","4.96 M","33.85 - 73.33",
"VLO","Valero Energy Corp","2.89%","66.60","-1.16","-1.71%","5.27 M","46.88 - 71.40",
"KMI","Kinder Morgan Inc","2.87%","21.79","-0.48","-2.16%","17.71 M","16.63 - 23.36",
"SE","Spectra Energy Corp","2.68%","41.41","-0.28","-0.67%","11.99 M","27.67 - 44.00",
"PSX","Phillips 66","2.39%","78.50","-0.95","-1.20%","2.94 M","73.67 - 90.87",
"BHI","Baker Hughes Inc","2.36%","61.20","-0.30","-0.49%","1.95 M","38.16 - 68.59",
"WMB","The Williams Companies Inc","2.21%","27.99","-1.00","-3.45%","11.75 M","14.60 - 32.69",
"TSO","Tesoro Corp","2.20%","87.23","-0.78","-0.89%","1.78 M","67.80 - 93.50",
"FTI","TechnipFMC Ltd","1.89%","32.48","-0.20","-0.61%","4.14 M","23.27 - 37.09",
"DVN","Devon Energy Corp","1.83%","44.11","-0.12","-0.27%","6.20 M","18.07 - 50.69",
"MPC","Marathon Petroleum Corp.","1.81%","49.96","-0.68","-1.34%","2.96 M","30.64 - 54.59",
"APA","Apache Corp","1.66%","55.25","-0.34","-0.61%","2.80 M","36.09 - 69.00",
"COG","Cabot Oil & Gas A","1.60%","23.12","-0.77","-3.22%","4.64 M","18.73 - 26.74",
"NBL","Noble Energy Inc","1.49%","37.21","-0.26","-0.69%","3.52 M","27.85 - 42.03",
"CXO","Concho Resources Inc","1.41%","140.19","-2.63","-1.84%","1.01 M","87.55 - 147.55",
"NOV","National Oilwell Varco Inc","1.33%","40.24","-0.18","-0.45%","2.65 M","26.86 - 43.63",
"HES","Hess Corp","1.17%","51.30","+0.25","+0.49%","4.13 M","39.95 - 65.56",
"MRO","Marathon Oil Corp","1.11%","16.17","-0.13","-0.80%","23.88 M","6.52 - 19.28",
"XEC","Cimarex Energy Co","0.87%","133.06","-1.30","-0.97%","2.63 M","75.01 - 146.96",
"OKE","ONEOK Inc","0.78%","54.03","-0.46","-0.84%","1.92 M","19.94 - 59.47",
"EQT","EQT Corporation","0.74%","62.25","-1.78","-2.78%","1.67 M","54.22 - 80.61",
"RRC","Range Resources Corp","0.63%","31.24","-1.76","-5.33%","6.37 M","21.69 - 46.96",
"NFX","Newfield Exploration Co","0.57%","42.14","-1.03","-2.39%","1.68 M","20.84 - 50.00",
"HP","Helmerich & Payne Inc","0.51%","68.49","-0.24","-0.35%","1.86 M","49.04 - 85.78",
"MUR","Murphy Oil Corp","0.42%","27.99","-0.20","-0.71%","2.55 M","15.30 - 37.48",
"CHK","Chesapeake Energy Corp","0.41%","6.08","-0.24","-3.80%","37.64 M","1.85 - 8.20",
"SWN","Southwestern Energy Co","0.37%","8.61","-0.42","-4.65%","11.81 M","5.30 - 15.59",
"RIG","Transocean Ltd","0.35%","13.17","-0.20","-1.50%","11.17 M","7.67 - 16.66",
